p_mean,dateStata,dateISO,year,%change,%change
0.95718956,01/06/2020,01/06/2020,2020,,-2.995446377
0.92851746,01/07/2020,01/07/2020,2020,,3.862532644
0.96438175,01/08/2020,01/08/2020,2020,,0.068432444
0.9650417,01/09/2020,01/09/2020,2020,,-1.354955957
0.95196581,01/10/2020,01/10/2020,2020,,-4.584913612
0.908319,01/11/2020,01/11/2020,2020,,-0.031512057
0.90803277,01/12/2020,01/12/2020,2020,-14.20755109,-8.241678326
0.83319563,01/01/2021,01/01/2021,2021,,8.19606075
0.90148485,01/02/2021,01/02/2021,2021,,3.138886915
0.92978144,01/03/2021,01/03/2021,2021,,0.381020727
0.9333241,01/04/2021,01/04/2021,2021,,2.117452019
0.95308679,01/05/2021,01/05/2021,2021,,-0.192086389
0.95125604,01/06/2021,01/06/2021,2021,,-2.196752412
0.9303593,01/07/2021,01/07/2021,2021,,-1.532413338
0.91610235,01/08/2021,01/08/2021,2021,,1.059139298
0.92580515,01/09/2021,01/09/2021,2021,,0.905711099
0.93419027,01/10/2021,01/10/2021,2021,,1.123950906
0.94469011,01/11/2021,01/11/2021,2021,,-0.955388429
0.93566465,01/12/2021,01/12/2021,2021,3.043048766,0.162009968
0.93718052,01/01/2022,01/01/2022,2022,,0.466162058
0.9415493,01/02/2022,01/02/2022,2022,,0.494316123
0.94620353,01/03/2022,01/03/2022,2022,,-1.401025211
0.93294698,01/04/2022,01/04/2022,2022,,1.611372385
0.94798023,01/05/2022,01/05/2022,2022,,-0.477558482
0.94345307,01/06/2022,01/06/2022,2022,,0.178684034
0.94513887,01/07/2022,01/07/2022,2022,,-1.091412101
0.93482351,01/08/2022,01/08/2022,2022,,-0.679123913
0.9284749,01/09/2022,01/09/2022,2022,,3.881628895
0.96451485,01/10/2022,01/10/2022,2022,3.083391042,-100
