region,price,dateISO,regionDesc,country
2,1.25,01/04/2019,London,England
2,0.69,01/01/2000,London,England
2,1.55,01/01/2022,London,England
2,0.25,01/06/2001,London,England
2,0.54000002,01/01/1996,London,England
2,0.79000002,01/05/1991,London,England
2,1.2,01/05/2019,London,England
2,0.55000001,01/02/2003,London,England
2,0.41999999,01/11/1993,London,England
2,1.75,01/04/2019,London,England
2,0.68000001,01/10/1991,London,England
2,0.75,01/07/2019,London,England
2,1.91,01/07/2021,London,England
2,0.5,01/02/2005,London,England
2,0.60000002,01/07/2001,London,England
2,0.60000002,01/09/2013,London,England
2,0.49000001,01/11/1991,London,England
2,0.89999998,01/02/2015,London,England
2,0.69,01/04/1997,London,England
2,0.89999998,01/05/2019,London,England
2,0.5,01/04/2001,London,England
2,0.44,01/12/1993,London,England
2,0.81999999,01/03/2010,London,England
2,0.85000002,01/04/2019,London,England
2,0.68000001,01/04/2004,London,England
2,1,01/05/2013,London,England
2,0.5,01/02/2018,London,England
2,0.69,01/07/2006,London,England
2,1.25,01/12/2016,London,England
2,0.60000002,01/03/1991,London,England
2,0.33000001,01/04/1995,London,England
2,1.25,01/06/2014,London,England
2,0.89999998,01/02/2021,London,England
2,1,01/04/2019,London,England
2,0.51999998,01/06/1992,London,England
2,0.75,01/12/2006,London,England
2,0.5,01/12/2001,London,England
2,0.58999997,01/05/2012,London,England
2,0.94999999,01/08/2017,London,England
2,0.58999997,01/12/1993,London,England
2,0.80000001,01/12/1996,London,England
2,0.94999999,01/05/2022,London,England
2,0.69999999,01/05/2013,London,England
2,0.79000002,01/04/2006,London,England
2,0.5,01/12/2003,London,England
2,0.58999997,01/06/2008,London,England
2,0.93000001,01/04/2022,London,England
2,1,01/10/2019,London,England
2,1.03,01/11/2010,London,England
2,0.64999998,01/12/2005,London,England
2,0.30000001,01/05/2022,London,England
2,0.57999998,01/11/1991,London,England
2,0.33000001,01/05/2000,London,England
2,1.3,01/12/2015,London,England
2,1.29,01/05/2022,London,England
2,0.69,01/10/2002,London,England
2,1.05,01/09/2021,London,England
2,1.2,01/06/2022,London,England
2,0.58999997,01/07/2012,London,England
2,0.34999999,01/07/1992,London,England
2,0.89999998,01/09/2018,London,England
2,0.99000001,01/12/1997,London,England
2,0.38999999,01/05/1999,London,England
2,2,01/12/2019,London,England
2,0.60000002,01/12/1998,London,England
2,0.5,01/12/1996,London,England
2,0.85000002,01/06/2019,London,England
2,0.85000002,01/04/2019,London,England
2,1,01/05/2015,London,England
2,0.77999997,01/11/2004,London,England
2,0.88,01/08/2022,London,England
2,1.49,01/03/2019,London,England
2,1,01/11/2012,London,England
2,0.80000001,01/03/2009,London,England
2,0.38999999,01/01/1994,London,England
2,1,01/11/2019,London,England
2,0.5,01/08/2002,London,England
2,0.58999997,01/11/1995,London,England
2,1,01/02/2021,London,England
2,0.5,01/05/2002,London,England
2,0.94999999,01/03/2019,London,England
2,1.1,01/09/2017,London,England
2,0.79000002,01/11/2004,London,England
2,2.75,01/09/2019,London,England
2,0.58999997,01/02/2011,London,England
2,0.98000002,01/09/2018,London,England
2,0.58999997,01/01/1995,London,England
2,1.15,01/03/2017,London,England
2,0.99000001,01/03/2018,London,England
2,0.85000002,01/03/2019,London,England
2,1.05,01/05/2012,London,England
2,0.25,01/11/2000,London,England
2,1.35,01/09/2013,London,England
2,0.99000001,01/12/2010,London,England
2,0.85000002,01/03/2019,London,England
2,1.1,01/01/2018,London,England
2,1.1900001,01/07/2003,London,England
2,0.89999998,01/08/2016,London,England
2,0.58999997,01/12/1991,London,England
2,0.94999999,01/02/2020,London,England
2,0.85000002,01/03/2019,London,England
2,0.79000002,01/03/2007,London,England
2,0.79000002,01/03/1989,London,England
2,1,01/11/2013,London,England
2,0.89999998,01/06/2020,London,England
2,0.69,01/03/1995,London,England
2,1.3,01/03/2018,London,England
2,1.25,01/03/2019,London,England
2,0.85000002,01/12/2007,London,England
2,0.98000002,01/08/2018,London,England
2,0.75,01/02/2022,London,England
2,1.3,01/03/2019,London,England
2,0.69,01/11/2001,London,England
2,0.58999997,01/02/1997,London,England
2,1.75,01/03/2019,London,England
2,0.75,01/11/2013,London,England
2,1.05,01/11/2019,London,England
2,0.88999999,01/10/2007,London,England
2,0.75,01/06/2000,London,England
2,0.88999999,01/01/1994,London,England
2,0.85000002,01/05/2019,London,England
2,0.69,01/04/2015,London,England
2,0.44999999,01/03/1997,London,England
2,0.49000001,01/05/1998,London,England
2,0.49000001,01/01/1994,London,England
2,0.69,01/06/2005,London,England
2,0.85000002,01/03/2019,London,England
2,0.79000002,01/12/1996,London,England
2,0.85000002,01/12/2019,London,England
2,1.75,01/03/2019,London,England
2,0.94999999,01/06/2014,London,England
2,0.75,01/11/1991,London,England
2,0.93000001,01/08/2022,London,England
2,1.15,01/03/2019,London,England
2,0.72000003,01/09/2007,London,England
2,1,01/12/2012,London,England
2,0.97000003,01/03/2019,London,England
2,0.75,01/07/1996,London,England
2,1,01/02/2015,London,England
2,0.58999997,01/03/1998,London,England
2,0.68000001,01/09/1997,London,England
2,0.60000002,01/10/2003,London,England
2,1,01/03/2019,London,England
2,0.77999997,01/11/2002,London,England
2,1,01/02/2019,London,England
2,0.77999997,01/06/2003,London,England
2,0.38999999,01/01/1994,London,England
2,0.69,01/01/2022,London,England
2,0.88999999,01/08/1996,London,England
2,0.5,01/03/2019,London,England
2,1.25,01/05/2009,London,England
2,0.85000002,01/09/2019,London,England
2,0.57999998,01/03/1997,London,England
2,0.88,01/04/2022,London,England
2,0.98000002,01/03/2019,London,England
2,0.44,01/02/1994,London,England
2,0.97000003,01/03/2019,London,England
2,0.79000002,01/09/2003,London,England
2,0.69,01/10/1993,London,England
2,0.80000001,01/07/1993,London,England
2,0.5,01/02/2019,London,England
2,0.85000002,01/10/2008,London,England
2,1.25,01/04/2009,London,England
2,0.66000003,01/01/2008,London,England
2,0.79000002,01/06/2006,London,England
2,0.68000001,01/02/1994,London,England
2,1.1900001,01/01/2007,London,England
2,1.05,01/10/2019,London,England
2,0.44,01/02/1994,London,England
2,0.94999999,01/12/2021,London,England
2,0.88999999,01/11/2007,London,England
2,0.5,01/03/1997,London,England
2,0.85000002,01/02/1992,London,England
2,0.75,01/05/2003,London,England
