quote_date,item_id,p_mean,p_75,p_median,p_25,SD,date,dateStata,dateISO,obs,year,month,quarter,_merge
201201,212710,.86652404,.99000001,.89999998,.69,.21843088,288,01-01-2012,2012-01-01,112915,2012,1,1,matched (3)
201202,212710,.87344259,1,.88999999,.69,.23785132,289,01-02-2012,2012-02-01,109908,2012,2,1,matched (3)
201203,212710,.84906733,1,.88999999,.60000002,.27605322,290,01-03-2012,2012-03-01,112591,2012,3,1,matched (3)
201204,212710,.87729859,1,.89999998,.69,.2382012,291,01-04-2012,2012-04-01,111722,2012,4,2,matched (3)
201205,212710,.86890477,1,.89999998,.68000001,.25906575,292,01-05-2012,2012-05-01,112977,2012,5,2,matched (3)
201206,212710,.92074466,1.04,.99000001,.74000001,.25454053,293,01-06-2012,2012-06-01,113464,2012,6,2,matched (3)
201207,212710,.92698491,1,.99000001,.75,.23225282,294,01-07-2012,2012-07-01,112979,2012,7,3,matched (3)
201208,212710,.9309836,1,.99000001,.75,.24888127,295,01-08-2012,2012-08-01,113779,2012,8,3,matched (3)
201209,212710,.92037433,1,.99000001,.74000001,.26152852,296,01-09-2012,2012-09-01,113529,2012,9,3,matched (3)
201210,212710,.95756614,1.09,.99000001,.77999997,.26048523,297,01-10-2012,2012-10-01,113193,2012,10,4,matched (3)
201211,212710,.92956525,1.1,.99000001,.75,.27745098,298,01-11-2012,2012-11-01,112322,2012,11,4,matched (3)
201212,212710,.926117,1,.99000001,.77999997,.23409931,299,01-12-2012,2012-12-01,112522,2012,12,4,matched (3)
201301,212710,.90181816,1,.96500003,.75,.27490419,300,01-01-2013,2013-01-01,112470,2013,1,1,matched (3)
201302,212710,.95394444,1,1,.77999997,.25132832,301,01-02-2013,2013-02-01,108915,2013,2,1,matched (3)
201303,212710,.9505946,1,1,.79000002,.25757265,302,01-03-2013,2013-03-01,112073,2013,3,1,matched (3)
201304,212710,.96873683,1,1,.88999999,.2203304,303,01-04-2013,2013-04-01,111932,2013,4,2,matched (3)
201305,212710,.97460395,1,1,.88999999,.20001018,304,01-05-2013,2013-05-01,112460,2013,5,2,matched (3)
201306,212710,.94225132,1,1,.79000002,.26100948,305,01-06-2013,2013-06-01,113182,2013,6,2,matched (3)
201307,212710,.95978492,1,1,.79000002,.24239114,306,01-07-2013,2013-07-01,110722,2013,7,3,matched (3)
201308,212710,.99815029,1.15,1,.88999999,.24572636,307,01-08-2013,2013-08-01,111818,2013,8,3,matched (3)
201309,212710,.99962765,1.05,1,.94999999,.23117086,308,01-09-2013,2013-09-01,111942,2013,9,3,matched (3)
201310,212710,.98918366,1,1,.80000001,.25951898,309,01-10-2013,2013-10-01,112357,2013,10,4,matched (3)
201311,212710,.98878175,1,1,.79000002,.28166512,310,01-11-2013,2013-11-01,111887,2013,11,4,matched (3)
201312,212710,.93645632,1,1,.75,.23741199,311,01-12-2013,2013-12-01,112786,2013,12,4,matched (3)
201401,212710,.97392523,1,1,.79000002,.24783099,312,01-01-2014,2014-01-01,113219,2014,1,1,matched (3)
201402,212710,.94765627,1,.99000001,.75,.23098293,313,01-02-2014,2014-02-01,108434,2014,2,1,matched (3)
201403,212710,.9672277,1.05,.995,.79000002,.2153748,314,01-03-2014,2014-03-01,111378,2014,3,1,matched (3)
201404,212710,.95876777,1,1,.79000002,.21108878,315,01-04-2014,2014-04-01,110845,2014,4,2,matched (3)
201405,212710,.94607478,1,.995,.79000002,.2198538,316,01-05-2014,2014-05-01,111915,2014,5,2,matched (3)
201406,212710,.90799999,1,.99000001,.75,.23306412,317,01-06-2014,2014-06-01,112673,2014,6,2,matched (3)
201407,212710,.93744075,1,1,.75,.21288291,318,01-07-2014,2014-07-01,110263,2014,7,3,matched (3)
201408,212710,.94635069,1,1,.79000002,.21044047,319,01-08-2014,2014-08-01,111493,2014,8,3,matched (3)
201409,212710,.93986487,1,1,.80000001,.19718489,320,01-09-2014,2014-09-01,111704,2014,9,3,matched (3)
201410,212710,.96732455,1,1,.85000002,.22028683,321,01-10-2014,2014-10-01,111105,2014,10,4,matched (3)
201411,212710,.93701923,1,.995,.79000002,.23727673,322,01-11-2014,2014-11-01,111793,2014,11,4,matched (3)
201412,212710,.93162996,1,.99000001,.85000002,.21442552,323,01-12-2014,2014-12-01,111959,2014,12,4,matched (3)
201501,212710,.89617926,1,.99000001,.77999997,.23375165,324,01-01-2015,2015-01-01,112492,2015,1,1,matched (3)
201502,212710,.93932366,1,.99000001,.86000001,.19650719,325,01-02-2015,2015-02-01,110362,2015,2,1,matched (3)
201503,212710,.92366815,1,.99000001,.79000002,.22022435,326,01-03-2015,2015-03-01,113759,2015,3,1,matched (3)
201504,212710,.95045835,1,.99000001,.80000001,.20626433,327,01-04-2015,2015-04-01,115935,2015,4,2,matched (3)
201505,212710,.94792205,1,.99000001,.88999999,.18526129,328,01-05-2015,2015-05-01,116093,2015,5,2,matched (3)
201506,212710,.91276425,1,.99000001,.80000001,.25273782,329,01-06-2015,2015-06-01,116584,2015,6,2,matched (3)
201507,212710,.97764707,1,.995,.88999999,.19901744,330,01-07-2015,2015-07-01,114886,2015,7,3,matched (3)
201508,212710,.94744682,1,.99000001,.88999999,.26555109,331,01-08-2015,2015-08-01,115736,2015,8,3,matched (3)
201509,212710,.95048457,1,1,.88999999,.26397109,332,01-09-2015,2015-09-01,115298,2015,9,3,matched (3)
201510,212710,.97938865,1,1,.88999999,.21312334,333,01-10-2015,2015-10-01,114195,2015,10,4,matched (3)
201511,212710,.95655966,1,1,.80000001,.22087717,334,01-11-2015,2015-11-01,114300,2015,11,4,matched (3)
201512,212710,.96219009,1,1,.88999999,.20538941,335,01-12-2015,2015-12-01,114817,2015,12,4,matched (3)
201601,212710,.9602564,1,1,.88999999,.24525878,336,01-01-2016,2016-01-01,115217,2016,1,1,matched (3)
201602,212710,.99361992,1,1,.88999999,.21004008,337,01-02-2016,2016-02-01,111438,2016,2,1,matched (3)
