Country,Time Asleep (minutes)
Australia,512
Austria,498
Belgium,513
Canada,520
Denmark,489
Estonia,530
Finland,508
France,513
Germany,498
Greece,500
Hungary,506
Ireland,491
Italy ,513
Japan,442
Korea,471
Latvia,512
Lithuania,503
Luxembourg,518
Mexico,499
Netherlands,503
New Zealand,526
Norway ,492
Poland,509
Portugal,506
Slovenia,501
Spain,516
Sweden,483
Turkey,515
UK,508
USA,528
China,542
India,528
South Africa,553
