dateISO,p_mean,regionDesc,country
01/12/2012,0.8416667,South West,England
01/12/2012,0.89526314,East Anglia,England
01/12/2012,0.83692306,East Midlands,England
01/12/2012,0.90166664,West Midlands,England
01/12/2012,1.02,Yorkshire & Humber,England
01/12/2012,0.88526314,North West,England
01/12/2012,0.95888889,North,England
01/12/2012,0.86000001,Wales,Wales
01/12/2012,0.93312502,Scotland,Scotland
01/12/2012,1.0599999,Northern Ireland,Northern Ireland
01/01/2013,0.90750003,London,England
01/01/2013,0.9162963,South East,England
01/01/2013,0.81363636,South West,England
01/01/2013,0.9066667,East Anglia,England
01/01/2013,0.76785713,East Midlands,England
01/01/2013,0.98294121,West Midlands,England
01/01/2013,0.91500002,Yorkshire & Humber,England
01/01/2013,0.97777778,North West,England
01/01/2013,0.92444444,North,England
01/01/2013,0.79428571,Wales,Wales
01/01/2013,0.89133334,Scotland,Scotland
01/01/2013,1.0385715,Northern Ireland,Northern Ireland
01/02/2013,0.98407406,London,England
01/02/2013,0.95962965,South East,England
01/02/2013,0.875,South West,England
01/02/2013,0.97315788,East Anglia,England
01/02/2013,0.96636361,East Midlands,England
01/02/2013,1.0253333,West Midlands,England
01/02/2013,0.9176923,Yorkshire & Humber,England
01/02/2013,0.92000002,North West,England
01/02/2013,0.91000003,North,England
01/02/2013,0.875,Wales,Wales
01/02/2013,0.92000002,Scotland,Scotland
01/02/2013,1.0942857,Northern Ireland,Northern Ireland
01/03/2013,1.006,London,England
01/03/2013,0.98103446,South East,England
01/03/2013,0.85166669,South West,England
01/03/2013,0.95999998,East Anglia,England
01/03/2013,0.93666667,East Midlands,England
01/03/2013,0.99187499,West Midlands,England
01/03/2013,0.88538462,Yorkshire & Humber,England
01/03/2013,0.92400002,North West,England
01/03/2013,0.94499999,North,England
01/03/2013,0.94857144,Wales,Wales
01/03/2013,0.89692307,Scotland,Scotland
01/03/2013,1.0928571,Northern Ireland,Northern Ireland
01/04/2013,0.99458337,London,England
01/04/2013,0.98448277,South East,England
01/04/2013,0.98526317,South West,England
01/04/2013,0.96352941,East Anglia,England
01/04/2013,0.9985714,East Midlands,England
01/04/2013,0.96235293,West Midlands,England
01/04/2013,0.92357141,Yorkshire & Humber,England
01/04/2013,0.98176473,North West,England
01/04/2013,0.94625002,North,England
01/04/2013,1.0077778,Wales,Wales
01/04/2013,0.792,Scotland,Scotland
01/04/2013,1.1514286,Northern Ireland,Northern Ireland
01/05/2013,1.0160714,London,England
01/05/2013,1.0072727,South East,England
01/05/2013,0.95649999,South West,England
01/05/2013,0.99250001,East Anglia,England
01/05/2013,0.94714284,East Midlands,England
01/05/2013,0.96999997,West Midlands,England
01/05/2013,0.912,Yorkshire & Humber,England
01/05/2013,0.91399997,North West,England
01/05/2013,0.94222224,North,England
01/05/2013,0.99571431,Wales,Wales
01/05/2013,0.94666666,Scotland,Scotland
01/05/2013,1.08125,Northern Ireland,Northern Ireland
01/06/2013,0.98521739,London,England
01/06/2013,0.92967743,South East,England
01/06/2013,0.89888889,South West,England
01/06/2013,0.93400002,East Anglia,England
01/06/2013,0.92071426,East Midlands,England
01/06/2013,0.96642858,West Midlands,England
01/06/2013,0.92400002,Yorkshire & Humber,England
01/06/2013,0.98277777,North West,England
01/06/2013,0.96125001,North,England
01/06/2013,0.84333336,Wales,Wales
01/06/2013,0.88,Scotland,Scotland
01/06/2013,1.10375,Northern Ireland,Northern Ireland
01/07/2013,0.96730769,London,England
01/07/2013,0.95740741,South East,England
01/07/2013,0.90705884,South West,England
01/07/2013,0.92294115,East Anglia,England
01/07/2013,0.9523077,East Midlands,England
01/07/2013,0.96999997,West Midlands,England
01/07/2013,0.93076921,Yorkshire & Humber,England
01/07/2013,0.96562499,North West,England
01/07/2013,0.99333334,North,England
01/07/2013,0.94099998,Wales,Wales
01/07/2013,0.97588235,Scotland,Scotland
01/07/2013,1.1371429,Northern Ireland,Northern Ireland
01/08/2013,1.00375,London,England
01/08/2013,1.0153846,South East,England
01/08/2013,0.94357145,South West,England
01/08/2013,1.0144445,East Anglia,England
01/08/2013,1.0361538,East Midlands,England
01/08/2013,1.0807692,West Midlands,England
01/08/2013,1.0930001,Yorkshire & Humber,England
01/08/2013,0.97055554,North West,England
01/08/2013,1.06625,North,England
01/08/2013,0.95375001,Wales,Wales
01/08/2013,0.799375,Scotland,Scotland
01/08/2013,1.17,Northern Ireland,Northern Ireland
01/09/2013,0.98333335,London,England
01/09/2013,1.0696154,South East,England
01/09/2013,1.0377778,South West,England
01/09/2013,0.94176471,East Anglia,England
01/09/2013,1.0018182,East Midlands,England
01/09/2013,0.9822222,West Midlands,England
01/09/2013,0.97846156,Yorkshire & Humber,England
01/09/2013,1.0157895,North West,England
01/09/2013,1.035,North,England
01/09/2013,1.0550001,Wales,Wales
01/09/2013,0.83705884,Scotland,Scotland
01/09/2013,1.2016666,Northern Ireland,Northern Ireland
01/10/2013,0.97535712,London,England
01/10/2013,1.0058064,South East,England
01/10/2013,1.0036842,South West,England
01/10/2013,1.0089474,East Anglia,England
01/10/2013,1.0016667,East Midlands,England
01/10/2013,1.005625,West Midlands,England
01/10/2013,0.96066666,Yorkshire & Humber,England
01/10/2013,1.0127778,North West,England
01/10/2013,0.99666667,North,England
01/10/2013,1.0066667,Wales,Wales
01/10/2013,0.87944442,Scotland,Scotland
01/10/2013,1.112,Northern Ireland,Northern Ireland
01/11/2013,1.0115385,London,England
01/11/2013,0.9946875,South East,England
01/11/2013,1.0163158,South West,England
01/11/2013,0.98368418,East Anglia,England
01/11/2013,0.94714284,East Midlands,England
01/11/2013,0.926875,West Midlands,England
01/11/2013,0.92571431,Yorkshire & Humber,England
01/11/2013,1.0714285,North West,England
01/11/2013,1.0042857,North,England
